Day,Date,Time,Level,Course Code,Course Name,Instructor,No. of Students,Required No. of Proctors,Room(s),No. of Students/ Room,No. of proctors / Room
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1101,15,1
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1108,38,2
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1110,38,2
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1112,38,2
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1114,38,2
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1115,15,1
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1117,15,1
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1146,15,1
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1204,25,1
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1206,25,1
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1208,40,2
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1212,15,1
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1215,15,1
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1216,40,2
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1217,15,1
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1218,15,1
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1225,15,1
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,1310,16,1
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,3207,16,1
Wednesday,5-Jun-24,10:00 - 12:00,1,CS103,Discrete Structure ,Dr. Soha,463,27,G2-4011,14,2
Wednesday,5-Jun-24,10:00 - 12:00,1,MAT103 ,Discrete Mathematics,Dr. Soha,26,27,G2-4011,26,2
Wednesday,5-Jun-24,12:30 - 2:30,2,SWE201,Information Systems Analysis and Design,Dr. Shady,298,16,1204,25,1
Wednesday,5-Jun-24,12:30 - 2:30,2,SWE201,Information Systems Analysis and Design,Dr. Shady,298,16,1206,25,1
Wednesday,5-Jun-24,12:30 - 2:30,2,SWE201,Information Systems Analysis and Design,Dr. Shady,298,16,1208,40,2
Wednesday,5-Jun-24,12:30 - 2:30,2,SWE201,Information Systems Analysis and Design,Dr. Shady,298,16,1212,15,1
Wednesday,5-Jun-24,12:30 - 2:30,2,SWE201,Information Systems Analysis and Design,Dr. Shady,298,16,1215,15,1
Wednesday,5-Jun-24,12:30 - 2:30,2,SWE201,Information Systems Analysis and Design,Dr. Shady,298,16,1216,40,2
Wednesday,5-Jun-24,12:30 - 2:30,2,SWE201,Information Systems Analysis and Design,Dr. Shady,298,16,1217,15,1
Wednesday,5-Jun-24,12:30 - 2:30,2,SWE201,Information Systems Analysis and Design,Dr. Shady,298,16,1218,15,1
Wednesday,5-Jun-24,12:30 - 2:30,2,SWE201,Information Systems Analysis and Design,Dr. Shady,298,16,1225,15,1
Wednesday,5-Jun-24,12:30 - 2:30,2,SWE201,Information Systems Analysis and Design,Dr. Shady,298,16,1310,16,1
Wednesday,5-Jun-24,12:30 - 2:30,2,SWE201,Information Systems Analysis and Design,Dr. Shady,298,16,G2-4011,41,2
Wednesday,5-Jun-24,12:30 - 2:30,2,SWE201,Information Systems Analysis and Design,Dr. Shady,298,16,Hall 8-4238,36,2
Wednesday,5-Jun-24,12:30 - 2:30,2,SWE302,Information Systems Analysis and Design,Dr. Shady,4,16,Hall 8-4238,4,2
