Day,Date,Time,Level,Course Code,Course Name,Instructor,No. of Students,Room(s),No. of Students/ Room
Sunday,25/8/2024,10:00 - 12:00,self study,AIN414,Virtual Reality ,Prof. Dina,1,1204,5
Sunday,25/8/2025,10:00 - 12:00,self study,CNE402,Parallel and Distributed Systems,Dr. Abdel-Latif,1,1204,5
Sunday,25/8/2026,10:00 - 12:00,self study,CNE406,Mobile Computing,Dr.Nehal khaled,1,1204,5
Sunday,25/8/2027,10:00 - 12:00,self study,CNE411,Selected Topics in Computer Networks,Dr. Abdel-Latif,1,1204,5
Sunday,25/8/2028,10:00 - 12:00,self study,UNI102,Presentation and Communication Skills,Dr. Rawhy,1,1204,5
Sunday,25/8/2029,12:30 - 2:30,3,CSC303,Introduction to Artificial Intelligence,Prof. Dina,20,1204,20
Sunday,25/8/2031,12:30 - 2:30,1,PH101,Physics,Dr. Taha,15,1206,25
Sunday,25/8/2031,12:30 - 2:30,1,PHY101,Physics,Dr. Taha,10,1206,25
Sunday,25/8/2032,10:00 - 12:00,3,CNE308,Information and Networks Security,Dr. Abdel-Latif,28,1208,28
Sunday,25/8/2033,12:30 - 2:30,2,CSC207,Event-Driven and Reactive Programming,Dr. Ahmed Seif,35,1208,35
Sunday,25/8/2034,10:00 - 12:00,1,HS103,Critical Thinking,Dr. Gamal El-Dien,12,1216,23
Sunday,25/8/2034,10:00 - 12:00,1,UNI101,Critical Thinking,Dr. Gamal El-Dien,11,1216,23
